OBJECTID,Shape,Join_Count,TARGET_FID,PIN,PIN2,PTRACT2,GPIN,Parcel_Tex,Parts,SUB_NAME,DEED_AC,ACTIVE,EXPIRY,Last,ACC_NO,class,TCSD,SHARE_TC,EDITDATE,EDITBY,EDITTYPE,TRANSACTIO,TRANSACT_1,TRATE_ID,YearFor,Fire_Dist,Calc_Acrea,Parcel_Not,TAZ_Model_,Possible_Z,Common_Nam,Common_N_1,GPS_Y_N,GPS_Year,Calc_Acr_1,Calc_Acr_2,Data_year,ORIG_FID,AccountNumber,TaxMap,GPIN,LUC_2022,Total Land,Land Unit Type,CurYr_LandMarketValue,CurYr_LandUseValue,CurYr_AgricultCredit,CurYr_BuildingValue,CurYr_SFYIValue,CurYr_MarketValue,PrevYr_LandMarketValue,PrevYr_LandUseValue,PrevYr_agricultCredit,PrevYr_BuildingValue,PrevYr_SFYIValue,PrevYr_MarketValue,Description,Full description,UserAccoun,LandUseCod2018
857,Point,1,861, 27   8     A,27-8-0-A-0,27-8-0-A-0,6729-17-6490,6490,1, ,4.41,6/19/2020,<Null>, ,20705,2,No,No,6/26/2020,JDW,0, ,0,116216033797236_TRATE, ,4,4.408608, ,645,0, , , , ,0.001392,0,2022,15031,20705,27-17-0-A-0,6729-17-6490,SNGL FAM SUB,4.41,AC,60100,0,60100,0,0,60100,56800,0,56800,0,0,56800,A1,AG/GEN,6729-17-6203,20 - SNGL FAM SUB
858,Point,1,862,27   8     B,27-8-0-B-0,27-8-0-A-0,6729-17-6204,6204,1, ,4.41,6/19/2020,<Null>, ,20706,2,No,No,6/26/2020,JDW,0, ,0,116216033797236_TRATE, ,4,4.408553, ,645,0, , , , ,0.001447,0,2022,15032,20706,27-17-0-B-0,6729-17-6204,SNGL FAM SUB,4.41,AC,60100,0,60100,0,0,60100,56800,0,56800,0,0,56800,A1,AG/GEN,6729-17-6203,20 - SNGL FAM SUB
859,Point,1,863, 58  28     1,58-28-0-1-0,58-14-0-A-0,7716-20-9634, ,1, ,360.368,12/31/2005,<Null>, ,10983,4,No,No,7/6/2020,JDW,0, ,0,117129343760644_TRATE, ,3,359.863046, ,656,0, , , , ,0.504954,0,2022,15033,10983,58-28-0-1-0,7716-20-9634,COMM & IND,360.368,AC,8760500,0,8760500,0,3643200,12403700,8126300,0,8126300,0,3449700,11576000,A2R3,AGRIC.R,7716-20-9634,40 - COMM & IND
860,Point,1,864, 58  28     K,58-28-0-K-0,58-28-0-K-0,7715-26-6816,6816,1,Broad Run Sec III,1.02,12/31/2005,<Null>,7715-26-5885,10881,2,No,No,7/6/2020,JDW,0, ,0,117125883756854_TRATE, ,1,1.007989, ,656,23103, , , , ,0.012011,0,2022,15053,10881,58-28-0-K-0,7715-26-6816,SNGL FAM SUB,1.02,AC,32500,0,32500,0,0,32500,29600,0,29600,0,0,29600,A2,AG/LTD,7715-27-6056,20 - SNGL FAM SUB
861,Point,1,865, 58  22 A   6,58-22-A-6-0,58-22-A-6-0,7715-27-6056, ,1,Broad Run,3.09,12/31/2005,<Null>, ,6673,2,No,No,7/6/2020,JDW,0, ,0,117126973757138_TRATE, ,1,3.089551, ,656,0, , , , ,0.000449,0,2022,15056,6673,58-22-A-6-0,7715-27-6056,SNGL FAM SUB,3.09,AC,383300,0,383300,679400,47700,1110400,351800,0,351800,633100,39700,1024600,A2,AG/LTD,7715-27-6056,20 - SNGL FAM SUB
862,Point,1,866, 58  22 A   3,58-22-A-3-0,58-22-A-3-0,7715-36-2891, ,1,Broad Run,3.272,12/31/2005,<Null>, ,3106,2,No,No,7/6/2020,JDW,0, ,0,117132943756819_TRATE, ,1,3.272412, ,656,23103, , , , ,-0.000412,0,2022,15060,3106,58-22-A-3-0,7715-36-2891,SNGL FAM SUB,3.272,AC,383300,0,383300,462300,500,846100,351800,0,351800,420300,500,772600,A2,AG/LTD,7715-36-2891,20 - SNGL FAM SUB
863,Point,1,867, 58  28     F,58-28-0-F-0,58-28-0-F-0,7715-27-3953, ,1, ,0.702,12/31/2005,<Null>, ,10878,2,No,No,7/6/2020,JDW,0, ,0,117123573757932_TRATE, ,1,0.690697, ,656,0, , , , ,0.011303,0,2022,15069,10878,58-28-0-F-0,7715-27-3953,SNGL FAM SUB,0.702,AC,22400,0,22400,0,0,22400,20400,0,20400,0,0,20400,R3,RES/GEN,7716-20-9634,40 - COMM & IND
864,Point,1,868, 58  28     R,58-28-0-R-0,58-28-0-R-0,7715-28-2872, ,1, ,0.438,12/31/2005,<Null>, ,11085,2,No,No,7/6/2020,JDW,0, ,0,117122783758821_TRATE, ,3,0.438236, , ,0, , , , ,-0.000236,0,2022,15073,11085,58-28-0-R-0,7715-28-2872,SNGL FAM SUB,0.438,AC,14000,0,14000,0,0,14000,12700,0,12700,0,0,12700,A2,AG/LTD,7716-20-9634,40 - COMM & IND
865,Point,1,869, 58  28     N,58-28-0-N-0,58-28-0-N-0,7715-36-1486,1486,1, ,0.063,12/31/2005,<Null>,7715-36-1461,10988,2,No,No,7/6/2020,JDW,0, ,0,117131683756420_TRATE, ,1,0.058339, ,656,0, , , , ,0.004661,0,2022,15129,10988,58-28-0-N-0,7715-36-1486,SNGL FAM SUB,0.063,AC,2000,0,2000,0,0,2000,1800,0,1800,0,0,1800,A2,AG/LTD,7715-36-2891,20 - SNGL FAM SUB
866,Point,1,870,63   10   1,63-10-0-1-0,63-1-0-119-0,7715-50-9547,9547,1, ,3.168,6/29/2020,<Null>,7715-60-1674,20709,2,No,No,2/8/2022,JDW,0, ,0,117160993750626_TRATE, ,1,3.240744, ,656,23103, , , , ,-0.072744,0,2022,15138,20709,63-10-0-1-0,7715-50-9547,SNGL FAM SUB,3.168,AC,152600,0,152600,389000,27600,569200,132700,0,132700,344900,24500,502100,A2,AG/LTD,7715-60-1674,20 - SNGL FAM SUB
867,Point,1,871,63   10   2,63-10-0-2-0,63-1-0-119-0,7715-60-3629,3629,1, ,2.368,6/29/2020,<Null>,7715-60-1674,20710,2,No,No,2/8/2022,JDW,0, ,0,117160993750626_TRATE, ,1,2.398562, ,656,0, , , , ,-0.030562,0,2022,15139,20710,63-10-0-2-0,7715-60-3629,SNGL FAM SUB,2.368,AC,136300,0,136300,335800,0,472100,118500,0,118500,0,0,118500,A2,AG/LTD,7715-60-1674,20 - SNGL FAM SUB
868,Point,1,872,4   1    28D,4-1-0-28-D,4-1-0-28-0,6803-85-1038,1038,1, ,6.001,6/15/2020,<Null>,6803-85-4458,20708,5,No,No,7/7/2020,JDW,0, ,0,116084533835480_TRATE, ,6,6.001236, ,644,23038, , , , ,-0.000236,0,2022,15140,20708,4-1-0-28-D,6803-85-1038,SNGL FAM SUB,6.001,AC,65200,0,65200,201600,1400,268200,64000,0,64000,179600,1000,244600,A1,AG/GEN,6803-85-4458,50 - AG 20-100 AC
869,Point,1,873, 56   1    11,56-1-0-11-0,56-1-0-11-0,6795-09-5840, ,1, ,16.143,3/15/2004,<Null>, ,6569,2,No,No,7/10/2020,JDW,0, ,0,116905503759806_TRATE, ,2,16.118555, ,666,0, , , , ,0.024445,0,2022,15149,6569,56-1-0-11-0,6795-09-5840,SNGL FAM SUB,16.143,AC,273400,0,273400,0,2000,275400,243800,0,243800,0,2000,245800,A2,AG/LTD,6795-09-5840,20 - SNGL FAM SUB
870,Point,1,874,56   1   11B,56-1-0-11-B, ,6795-09-7882,7882,1, ,0,3/15/2004,12/30/1899,6795-09-5840,20714,0, , ,8/3/2020,JDW,0, ,0, , ,2,0.070095,CEMETERY, ,0, , , , ,-0.070095,0,2022,15159,20714,56-1-0-11-B,6795-09-7882,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A2,AG/LTD,6795-09-5840,20 - SNGL FAM SUB
871,Point,1,875,55   1   76D,55-1-0-76-D,55-1-0-76-0,6786-70-0806,806,1,DONE,0,12/31/2005,12/30/1899,6786-60-8845,20713,0, , ,8/3/2020,JDW,0, ,0, , ,2,0.089532,CEMETERY, ,0, , , , ,-0.089532,0,2022,15164,20713,55-1-0-76-D,6786-70-0806,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A2,AG/LTD,6786-60-8845,20 - SNGL FAM SUB
872,Point,1,876, 55   1    76B,55-1-0-76-B,55-1-0-76-B,6786-60-8845, ,1, ,2.9,12/31/2005,<Null>, ,1415,2,No,No,7/10/2020,JDW,0, ,0,116868493760851_TRATE, ,2,2.799718, ,664,23039, , , , ,0.100282,0,2022,15165,1415,55-1-0-76-B,6786-60-8845,SNGL FAM SUB,2.9,AC,101500,0,101500,158500,3200,263200,90500,0,90500,126000,3200,219700,A2,AG/LTD,6786-60-8845,20 - SNGL FAM SUB
873,Point,1,877,55   1   61B,55-1-0-61-B, ,6786-64-8549,8549,1, ,0,12/31/2005,12/30/1899,6786-74-3976,20712,0, , ,8/3/2020,JDW,0, ,0, , ,2,0.027548,CEMETERY, ,0, , , , ,-0.027548,0,2022,15174,20712,55-1-0-61-B,6786-64-8549,Cemetery,0,AC,100,0,100,0,0,100,100,0,100,0,0,100,A2,AG/LTD,6786-74-3976,50 - AG 20-100 AC
874,Point,1,878, 44   1    64,44-1-0-64-0,44-1-0-64-0,6786-56-2907,2907,2, ,79.604,11/15/2018,<Null>,6786-56-3999,3195,5,No,No,7/13/2020,JDW,0, ,0,116853933766992_TRATE, ,2,81.250568, ,664,23039, , , , ,-1.646568,0,2022,15186,3195,44-1-0-64-0,6786-56-2907,AG 20-100 AC,79.604,AC,1199900,1090800,109100,428600,34300,1662800,1074700,978400,96300,339300,12100,1426100,A2,AG/LTD,6786-56-3999,50 - AG 20-100 AC
875,Point,1,879, 44   1    60,44-1-0-60-0,44-1-0-60-0,6786-47-2647, ,1, ,13.775,4/17/2020,<Null>, ,8604,2,No,No,7/13/2020,JDW,0, ,0,116842413767676_TRATE, ,2,13.779328, ,664,0, , , , ,-0.004328,0,2022,15189,8604,44-1-0-60-0,6786-47-2647,SNGL FAM SUB,13.775,AC,246400,239600,6800,0,18000,264400,219700,213800,5900,0,18000,237700,A2,AG/LTD,6786-47-2647,20 - SNGL FAM SUB
876,Point,1,880,44   1    64B,44-1-0-64-B,44-1-0-64-0,6786-67-2487,2487,1, ,7.859,11/15/2018,<Null>, ,20216,5,No,No,7/13/2020,JDW,0, ,0,116853933766992_TRATE, ,2,7.887257, ,664,0, , , , ,-0.028257,0,2022,15196,20216,44-1-0-64-B,6786-67-2487,SNGL FAM SUB,7.859,AC,197700,0,197700,539400,0,737100,176400,0,176400,436400,0,612800,A2,AG/LTD,6786-56-3999,50 - AG 20-100 AC
877,Point,1,881,44   1    64A,44-1-0-64-A,44-1-0-64-0,6786-66-4631,4631,1, ,7.537,11/8/2018,<Null>, ,20215,5,No,No,7/13/2020,JDW,0, ,0,116853933766992_TRATE, ,2,7.553007, ,664,23039, , , , ,-0.016007,0,2022,15197,20215,44-1-0-64-A,6786-66-4631,SNGL FAM SUB,7.537,AC,192600,0,192600,621800,0,814400,171900,0,171900,499300,0,671200,A2,AG/LTD,6786-56-3999,50 - AG 20-100 AC
878,Point,1,882, 44   1    61,44-1-0-61-0,44-1-0-61-0,6786-39-8446, ,3, ,66.09,2/25/2002,<Null>, ,9382,5,No,No,4/6/2021,JDW,0, ,0,116838453769460_TRATE, ,2,71.116886, ,664,23039, , , , ,-5.026886,0,2022,15199,9382,44-1-0-61-0,6786-39-8446,AG 20-100 AC,66.09,AC,896400,794300,102100,82800,40400,1019600,802400,712000,90400,69900,37000,909300,A2,AG/LTD,6786-39-8446,50 - AG 20-100 AC
879,Point,1,883,44   1    61B,44-1-0-61-B,44-1-0-61-0,6786-38-6113,6113,1, ,0.02,12/31/2005,<Null>,6786-39-8446,20715,5,No,No,8/3/2020,JDW,0, ,0,116838453769460_TRATE, ,2,0.018733,CEMETERY,664,0, , , , ,0.001267,0,2022,15200,20715,44-1-0-61-B,6786-38-6113,Cemetery,0.02,AC,100,0,100,0,0,100,100,0,100,0,0,100,A2,AG/LTD,6786-39-8446,50 - AG 20-100 AC
880,Point,1,884,58  54     1M,58-54-1-1-M,58-32-3-50-0,7725-15-2275,2275,2,Mosaic at West Creek Sec I,14.772,7/8/2020,<Null>,7725-16-1563,20711,2,Yes,Yes,7/15/2020,JDW,0, ,0,117196383752037_TRATE, ,3,15.162515,To correct common area open space issue on org pla, ,0, , , , ,-0.390515,0,2022,15206,20711,58-54-1-1-M,7725-15-2275,Cmn Area/Open Spc,14.772,AC,0,0,0,0,0,0,0,0,0,0,0,0,RPUD,RES/PUD,7725-04-7895,40 - COMM & IND
881,Point,1,886, 40   1    31,40-1-0-31-0,40-1-0-31-0,6737-85-6639,6639,1, ,103.791,7/17/2020,<Null>,6737-74-5064,1232,6,No,No,8/4/2020,JDW,0, ,0,116375873775309_TRATE, ,5,103.791826, ,662,23063, , , , ,-0.000826,0,2022,15208,1232,40-1-0-31-0,6737-85-6639,AG > 100 AC,103.791,AC,332800,282500,50300,0,800,333600,330000,285600,44400,0,800,330800,A1,AG/GEN,6737-74-5064,60 - AG > 100 AC
882,Point,1,887,40   9   A,40-9-0-A-0,40-1-0-31-0,6737-64-1800,1800,1, ,67.769,7/17/2020,1/1/2006, ,20716,0, ,NO,8/4/2020,JDW,0, ,0, , ,5,67.751357, , ,0, , , , ,0.017643,0,2022,15210,20716,40-9-0-A-0,6737-64-1800,AG 20-100 AC,67.769,AC,263500,232300,31200,0,0,263500,257600,228800,28800,0,0,257600,A1,AG/GEN,6737-74-5064,60 - AG > 100 AC
883,Point,1,888,40   9   C,40-9-0-C-0,40-1-0-31-0,6737-73-5646,5646,1, ,13.369,7/17/2020,<Null>, ,20719,5,No,No,8/4/2020,JDW,0, ,0,116371273773614_TRATE, ,5,13.409903, ,662,0, , , , ,-0.040903,0,2022,15211,20719,40-9-0-C-0,6737-73-5646,SNGL FAM SUB,13.369,AC,118300,111800,6500,0,0,118300,116000,110300,5700,0,0,116000,A1,AG/GEN,6737-73-1621,50 - AG 20-100 AC
884,Point,1,889,40   9   B,40-9-0-B-0,40-1-0-31-0,6737-73-1409,1409,1, ,10.126,7/17/2020,<Null>, ,20718,5,No,No,8/4/2020,JDW,0, ,0,116371273773614_TRATE, ,5,10.086248, ,662,0, , , , ,0.039752,0,2022,15212,20718,40-9-0-B-0,6737-73-1409,SNGL FAM SUB,10.126,AC,100100,46500,53600,316600,33600,450300,98200,46300,51900,268700,31700,398600,A1,AG/GEN,6737-73-1621,50 - AG 20-100 AC
885,Point,1,890,40   9   D,40-9-0-D-0,40-1-0-31-0,6737-74-1542,1542,1, ,6.444,7/17/2020,1/1/2006, ,20717,0, ,NO,8/4/2020,JDW,0, ,0, , ,5,6.443513, , ,0, , , , ,0.000487,0,2022,15214,20717,40-9-0-D-0,6737-74-1542,SNGL FAM SUB,6.444,AC,79500,0,79500,160000,600,240100,77900,0,77900,137000,600,215500,A1,AG/GEN,6737-74-5064,60 - AG > 100 AC
886,Point,1,891,67  10     7A,67-10-0-7-A,67-10-0-6-0,7733-06-5735,5735,1,Lower Tuckahoe,2.2,7/20/2020,<Null>, ,20720,2,No,No,8/5/2020,JDW,0, ,0,117305553736928_TRATE, ,1,2.20206, ,672,0, , , , ,-0.00206,0,2022,15217,20720,67-10-0-7-A,7733-06-5735,SNGL FAM SUB,2.2,AC,323000,0,323000,683200,26800,1033000,270800,0,270800,559200,27000,857000,R1,RES/LTD,7733-06-5651,20 - SNGL FAM SUB
887,Point,1,892, 67  10     7,67-10-0-7-0,67-10-0-7-0,7733-06-5544,5544,1,Lower Tuckahoe,1.94,7/20/2020,<Null>,7733-06-5651,8432,2,No,No,8/5/2020,JDW,0, ,0,117305533736618_TRATE, ,1,1.943318, ,672,23238, , , , ,-0.003318,0,2022,15221,8432,67-10-0-7-0,7733-06-5544,SNGL FAM SUB,1.94,AC,323000,0,323000,878200,57800,1259000,270800,0,270800,685600,51100,1007500,R1,RES/LTD,7733-06-5651,20 - SNGL FAM SUB
888,Point,1,893,9   15   1,9-15-0-1-0,9-1-0-10-0,5892-73-5996,5996,1, ,3.711,7/13/2020,1/1/2006, ,20725,0,No,No,8/5/2020,JDW,0, ,0, , ,4,3.621434, ,644,0, , , , ,0.089566,0,2022,15234,20725,9-15-0-1-0,5892-73-5996,SNGL FAM SUB,3.711,AC,48600,0,48600,0,0,48600,47500,0,47500,0,0,47500,A1,AG/GEN,5892-74-5225,20 - SNGL FAM SUB
889,Point,1,894,9   15   3,9-15-0-3-0,9-1-0-10-0,5892-74-5629,5629,1, ,1/2/1900,7/13/2020,1/1/2006, ,20727,0,No,No,8/5/2020,JDW,0, ,0, , ,4,2.859056, ,644,0, , , , ,-0.179056,0,2022,15235,20727,9-15-0-3-0,5892-74-5629,SNGL FAM SUB,2.68,AC,44800,0,44800,149800,0,194600,43900,0,43900,0,0,43900,A1,AG/GEN,5892-74-5225,20 - SNGL FAM SUB
890,Point,1,895,9   15   2,9-15-0-2-0,9-1-0-10-0,5892-74-5323,5323,1, ,2.402,7/13/2020,1/1/2006, ,20726,0,No,No,8/5/2020,JDW,0, ,0, , ,4,2.495986, ,644,0, , , , ,-0.093986,0,2022,15236,20726,9-15-0-2-0,5892-74-5323,SNGL FAM SUB,2.402,AC,43800,0,43800,200000,0,243800,42900,0,42900,0,0,42900,A1,AG/GEN,5892-74-5225,20 - SNGL FAM SUB
891,Point,1,896,64   1   50,64-1-0-50-0,64-1-0-50-0,7734-02-2426,2426,1, ,0.278,7/19/2019,<Null>,7734-02-2427,9835,4,No,No,5/29/2020,JDW,0, ,0,117302213742473_TRATE, ,1,0.278046,2,668,23238, , , , ,-0.000046,0,2022,15237,9835,64-1-0-50-0,7734-02-1557,COMM & IND,0.278,AC,60600,0,60600,55000,0,115600,59200,0,59200,52800,0,112000,B1,BUS/GEN,7734-02-2427,40 - COMM & IND
892,Point,1,897,64   1    50F,64-1-0-50-F,64-1-0-50-0,7734-02-2390,2390,1, ,0.1719,7/19/2019,<Null>,7734-02-2427,20740,4,No,No,8/18/2020,JDW,0, ,0,117302213742473_TRATE, ,1,0.171934,2,668,23238, , , , ,-0.000034,0,2022,15238,20740,64-1-0-50-F,7734-02-2390,COMM & IND,0.1719,AC,39500,0,39500,71500,0,111000,36600,0,36600,70400,0,107000,B1,BUS/GEN,7734-02-2427,40 - COMM & IND
893,Point,1,898, 16   1    18,16-9-0-2-0,16-1-0-18-0,5890-34-7670,7670,1,Stillhouse Subdivision,3.11,7/28/2020,<Null>, ,20722,5,No,No,8/6/2020,JDW,0, ,0,115931523804932_TRATE, ,4,3.112477, ,644,0, , , , ,-0.002477,0,2022,15239,20722,16-9-0-2-0,5890-34-7670,SNGL FAM SUB,3.11,AC,46400,0,46400,235800,0,282200,45400,0,45400,208900,0,254300,A1,AG/GEN,5890-34-1953,50 - AG 20-100 AC
894,Point,1,899, 16   1    18,16-1-0-18-0,16-1-0-18-0,5890-25-4483,4483,1,Stillhouse Subdivision,42.12,7/28/2020,<Null>,5890-34-1953,5224,5,No,No,8/6/2020,JDW,0, ,0,115931523804932_TRATE, ,4,42.11788, ,644,23038, , , , ,0.00212,0,2022,15240,5224,16-1-0-18-0,5890-25-4483,AG 20-100 AC,42.12,AC,134800,115400,19400,0,0,134800,131400,113500,17900,0,0,131400,A1,AG/GEN,5890-34-1953,50 - AG 20-100 AC
895,Point,1,900, 16   1    18,16-9-0-4-0,16-1-0-18-0,5890-34-9899,9899,1,Stillhouse Subdivision,3.01,7/28/2020,<Null>, ,20724,5,No,No,8/6/2020,JDW,0, ,0,115931523804932_TRATE, ,4,3.014973, ,644,0, , , , ,-0.004973,0,2022,15241,20724,16-9-0-4-0,5890-34-9899,SNGL FAM SUB,3.01,AC,46000,0,46000,283900,0,329900,45000,0,45000,258100,0,303100,A1,AG/GEN,5890-34-1953,50 - AG 20-100 AC
896,Point,1,901, 16   1    18,16-9-0-3-0,16-1-0-18-0,5890-34-8784,8784,1,Stillhouse Subdivision,3.29,7/28/2020,<Null>, ,20723,5,No,No,8/6/2020,JDW,0, ,0,115931523804932_TRATE, ,4,3.294805, ,644,0, , , , ,-0.004805,0,2022,15242,20723,16-9-0-3-0,5890-34-8784,SNGL FAM SUB,3.29,AC,47000,0,47000,231400,0,278400,46000,0,46000,207800,0,253800,A1,AG/GEN,5890-34-1953,50 - AG 20-100 AC
897,Point,1,902, 16   1    18,16-9-0-1-0,16-1-0-18-0,5890-34-5582,5582,1,Stillhouse Subdivision,3.03,7/28/2020,<Null>, ,20721,5,No,No,8/6/2020,JDW,0, ,0,115931523804932_TRATE, ,4,3.030761, ,644,0, , , , ,-0.000761,0,2022,15243,20721,16-9-0-1-0,5890-34-5582,SNGL FAM SUB,3.03,AC,46100,0,46100,235800,0,281900,45100,0,45100,208900,0,254000,A1,AG/GEN,5890-34-1953,50 - AG 20-100 AC
898,Point,1,903,47   39    1,47-39-0-1-0,47-1-0-47-0,7717-92-0902,902,1, ,25.211,8/12/2020,<Null>, ,20741,5,Yes,Yes,8/18/2020,JDW,0, ,0,117182333772771_TRATE, ,3,25.002354, ,654,0, , , , ,0.208646,0,2022,15245,20741,47-39-0-1-0,7717-92-0902,AG 20-100 AC,25.211,AC,2495900,0,2495900,0,0,2495900,2228700,0,2228700,0,0,2228700,RPUD,RES/PUD,7717-82-2737,50 - AG 20-100 AC
899,Point,1,904, 44  21     A,44-21-0-A-0,44-21-0-A-0,6786-19-8278, ,1, ,10.67,12/31/2005,<Null>, ,7089,2,No,No,10/7/2020,JDW,0, ,0,116818783769282_TRATE, ,2,10.580275, , ,0, , , , ,0.089725,0,2022,15277,7089,44-21-0-A-0,6786-19-8278,SNGL FAM SUB,10.67,AC,186100,0,186100,0,0,186100,166100,0,166100,0,0,166100,A2,AG/LTD,6786-19-8278,20 - SNGL FAM SUB
900,Point,1,905, 44  21     C1,44-21-0-C-1,44-21-0-B-0,6786-38-1459, ,1, ,1.38,12/31/2005,<Null>, ,16408,2,No,No,9/4/2020,JDW,0, ,0,116832063768423_TRATE, ,2,0.097232, ,664,0, , , , ,1.282768,0,2022,15292,16408,44-21-0-C-1,6786-38-1459,SNGL FAM SUB,1.38,AC,2100,0,2100,0,0,2100,1900,0,1900,0,0,1900,A2,AG/LTD,6786-19-8278,20 - SNGL FAM SUB
901,Point,1,906, 27   1    69,27-1-0-69-0,27-1-0-69-0,6728-68-3604, ,1, ,49.429,11/13/2020,<Null>, ,4539,5,No,No,10/15/2021,JDW,0, ,0,116263073788645_TRATE, ,4,49.676202, ,646,23063, , , , ,-0.247202,0,2022,15321,4539,27-1-0-69-0,6728-68-3604,AG 20-100 AC,49.429,AC,305500,196000,109500,385700,79300,770500,298900,193200,105700,334800,77000,710700,A1,AG/GEN,6728-68-3604,50 - AG 20-100 AC
902,Point,1,907, 27   1    69B,27-1-0-69-B,27-1-0-69-0,6728-67-2756,2756,1, ,0,12/31/2005,<Null>,6728-67-3795,19135,5,No,No,10/5/2020,JDW,0, ,0,116263073788645_TRATE, ,4,0.182104,CEMETERY,646,0, , , , ,-0.182104,0,2022,15324,19135,27-1-0-69-B,6728-67-2756,Cemetery,0,<Null>,100,0,100,0,0,100,100,0,100,0,0,100,A1,AG/GEN,6728-68-3604,50 - AG 20-100 AC
903,Point,1,908,33-1-0-2-0,33-11-0-7-0, ,6798-44-9799,9799,1,Carver Oaks,1.504,9/3/2020,1/1/2006,6798-44-6948,20734,0, ,NO,10/7/2020,JDW,0, ,0, , , ,1.504063, , ,23146, , , , ,-0.000063,0,2022,15330,20734,33-11-0-7-0,6798-44-9799,SNGL FAM SUB,1.504,AC,83700,0,83700,0,0,83700,74700,0,74700,0,0,74700,R1,RES/LTD,6798-44-6948,50 - AG 20-100 AC
904,Point,1,909,33-1-0-2-0,33-11-0-5-0, ,6798-55-2264,2264,1,Carver Oaks,1.86,9/3/2020,1/1/2006,6798-44-6948,20732,0, ,NO,10/7/2020,JDW,0, ,0, , , ,1.86053, , ,23146, , , , ,-0.00053,0,2022,15331,20732,33-11-0-5-0,6798-55-2264,SNGL FAM SUB,1.86,AC,88600,0,88600,0,0,88600,79100,0,79100,0,0,79100,R1,RES/LTD,6798-44-6948,50 - AG 20-100 AC
905,Point,1,910,33-1-0-2-0,33-11-0-A-0, ,6798-35-7032,7032,1,Carver Oaks,3.717,9/3/2020,1/1/2006,6798-44-6948,20737,0, ,NO,10/7/2020,JDW,0, ,0, , , ,3.715376, , ,23146, , , , ,0.001624,0,2022,15332,20737,33-11-0-A-0,6798-35-7032,Cmn Area/Open Spc,3.717,AC,0,0,0,0,0,0,0,0,0,0,0,0,R1,RES/LTD,6798-44-6948,50 - AG 20-100 AC
906,Point,1,911,33-1-0-2-0,33-11-0-4-0, ,6798-55-0250,250,1,Carver Oaks,1.5,9/3/2020,1/1/2006,6798-44-6948,20731,0, ,NO,10/7/2020,JDW,0, ,0, , , ,1.49477, , ,23146, , , , ,0.00523,0,2022,15333,20731,33-11-0-4-0,6798-55-0250,SNGL FAM SUB,1.5,AC,83600,0,83600,504100,0,587700,74700,0,74700,482900,0,557600,R1,RES/LTD,6798-44-6948,50 - AG 20-100 AC
907,Point,1,912,33-1-0-2-0,33-11-0-1-0, ,6798-45-3007,3007,1,Carver Oaks,2.66,9/3/2020,1/1/2006,6798-44-6948,20728,0, ,NO,10/7/2020,JDW,0, ,0, , , ,2.651062, , ,23146, , , , ,0.008938,0,2022,15334,20728,33-11-0-1-0,6798-45-3007,SNGL FAM SUB,2.66,AC,99600,0,99600,0,0,99600,88900,0,88900,0,0,88900,R1,RES/LTD,6798-44-6948,50 - AG 20-100 AC
908,Point,1,913,33-1-0-2-0,33-11-0-2-0, ,6798-45-6135,6135,1,Carver Oaks,1.5,9/3/2020,1/1/2006,6798-44-6948,20729,0, ,NO,10/7/2020,JDW,0, ,0, , , ,1.493325, , ,23146, , , , ,0.006675,0,2022,15335,20729,33-11-0-2-0,6798-45-6135,SNGL FAM SUB,1.5,AC,83600,0,83600,0,0,83600,74700,0,74700,0,0,74700,R1,RES/LTD,6798-44-6948,50 - AG 20-100 AC
909,Point,1,914,33-1-0-2-0,33-11-0-3-0, ,6798-45-8156,8156,1,Carver Oaks,1.5,9/3/2020,1/1/2006,6798-44-6948,20730,0, ,NO,10/7/2020,JDW,0, ,0, , , ,1.494079, , ,23146, , , , ,0.005921,0,2022,15336,20730,33-11-0-3-0,6798-45-8156,SNGL FAM SUB,1.5,AC,83600,0,83600,476000,0,559600,74700,0,74700,455400,0,530100,R1,RES/LTD,6798-44-6948,50 - AG 20-100 AC
910,Point,1,915,33-1-0-2-0,33-11-0-B-0, ,6798-54-0591,591,1,Carver Oaks,1.543,9/3/2020,1/1/2006,6798-44-6948,20738,0, ,NO,10/7/2020,JDW,0, ,0, , , ,1.542568, , ,23146, , , , ,0.000432,0,2022,15337,20738,33-11-0-B-0,6798-54-0591,Cmn Area/Open Spc,1.543,AC,0,0,0,0,0,0,0,0,0,0,0,0,R1,RES/LTD,6798-44-6948,50 - AG 20-100 AC
911,Point,1,916,33-1-0-2-0,33-11-0-9-0, ,6798-44-6756,6756,1,Carver Oaks,1.88,9/3/2020,1/1/2006,6798-44-6948,20736,0, ,NO,10/7/2020,JDW,0, ,0, , , ,1.893005, , ,23146, , , , ,-0.013005,0,2022,15338,20736,33-11-0-9-0,6798-44-6756,SNGL FAM SUB,1.88,AC,88800,0,88800,0,0,88800,79300,0,79300,0,0,79300,R1,RES/LTD,6798-44-6948,50 - AG 20-100 AC
